pick,digit,pick,digit
WMT,613301752923,E,090
BRK,918530596731,I,575
AAPL,000020669700,I,943
INTC,963721277208,I,062
BRK,083712820252,E,447
TXN,693791995788,I,239
BRK,114976157448,E,240
BRK,935127983414,E,974
WMT,005262214395,I,455
TXN,288249720001,I,470
GOOG,236522428071,E,595
AAPL,588310520068,E,976
TXN,293464654139,I,940
INTC,820801338770,I,776
WMT,434661332958,E,236
GOOG,838065331117,I,558
AAPL,385696527514,E,641
INTC,350199557612,I,174
HPQ,780044277937,I,778
HPQ,311691789068,E,808
INTC,156134206596,I,687
MSFT,163824790689,I,586
TGT,060787453571,E,798
MSFT,637890082622,E,490
WMT,469090078157,I,395
BRK,616471448667,I,623
HOG,837060442049,I,541
HPQ,527664539738,E,283
INTC,837516336261,E,916
INTC,928548483447,E,728
TXN,943013458611,I,858
GOOG,130178311427,E,716
HPQ,805358483833,I,028
INTC,920026533859,E,616
TGT,454699390047,E,149
INTC,379749349031,E,793
GOOG,402787620872,E,019
HPQ,223866453720,E,141
TGT,479739205050,I,510
GOOG,836212938042,E,744
LUV,256148962821,E,309
TXN,854494609111,E,912
MMM,013045986029,E,075
TGT,115766434178,E,367
BRK,366898394846,E,500
TGT,556003171058,I,669
HOG,681346068688,E,821
AAPL,414748093484,E,543
WMT,582386945889,E,392
MMM,950060897315,I,440
GOOG,371201529265,I,312
TXN,767546938017,I,838
GOOG,841596281901,E,275
HPQ,009556543155,I,594
MSFT,077373256277,I,843
BRK,577908449404,I,283
GOOG,088809412648,I,464
INTC,134764176388,I,686
TXN,746683394705,I,286
TXN,167411080537,I,652
GOOG,457233019193,E,462
AAPL,138097784589,I,913
HPQ,115590189631,I,925
WMT,811085206471,E,453
INTC,536455329494,I,202
GOOG,138968925257,I,767
TGT,552241264224,E,960
TGT,578494171914,E,444
TXN,712086991150,I,671
TGT,658490925375,I,312
HOG,739931618025,I,076
AAPL,843782892822,I,264
TGT,673517058949,I,698
LUV,161888564190,E,621
HOG,164857573283,E,965
TXN,595617186098,E,996
WMT,647945661390,E,476
GOOG,944052533474,E,711
TXN,889933772882,I,541
MSFT,356153596377,I,331
LUV,932537798594,E,369
BRK,757879935497,I,211
INTC,449855907094,E,761
HPQ,096007286293,I,270
WMT,318875269114,E,299
MSFT,529245474275,E,375
BRK,157660114660,I,984
HPQ,541618006712,E,919
AAPL,282027030914,E,206
MSFT,618486251791,E,998
GOOG,882660247499,I,493
HOG,310370842616,E,218
HPQ,178966223032,E,457
MSFT,667481045622,E,496
HOG,089272111246,E,575
TGT,154078767509,E,778
WMT,438991835994,E,767
LUV,451617624581,E,916
MMM,452569295698,I,146
INTC,521023010124,E,271
